id,sciName,mainCommonName,otherCommonNames,majorType,majorSubtype,order,family,subfamily,tribe,genus,specificEpithet,authoritySpeciesAuthor,authoritySpeciesYear,authoritySpeciesFullcitation,authoritySpeciesLink,holotypeVoucher,taxonomyNotes,taxonomyNotesCitation,biogeographicRealm,MSW3_matchtype,MSW3_sciName,extinct,domestic,flagged,newSppSinceMSW3,
41,Acomys_ngurui,Nguru Spiny Mouse,Coastal Forest Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,ngurui,"W. Verheyen, Hulselmans, Wendelen, Leirs, Corti, Backeljau, & E. Verheyen",2011,,,,NA,NA,Afrotropic,unmatched,NA,0,0,0,1,
42,Acomys_percivali,Percival’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,percivali,Dollman,1911,,,,NA,NA,Afrotropic,sciname match,Acomys_percivali,0,0,0,0,
43,Acomys_russatus,Golden Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,russatus,Wagner,1840,,,,NA,NA,"Afrotropic, Palearctic",sciname match,Acomys_russatus,0,0,0,0,
44,Acomys_selousi,Selous’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,selousi,de Winton,1896,,,,split from A. spinosissimus,"Verheyen, W., Hulselmans, J., Wendelen, W., Leirs, H., & Corti, M. (2011). Contribution to the systematics and zoogeography of the East-African Acomys. Zootaxa, 3059, 1-35.",Afrotropic,unmatched,NA,0,0,0,1,
45,Acomys_seurati,Seurat’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,seurati,Heim de Balsac,1936,,,,NA,NA,Palearctic,sciname match,Acomys_seurati,0,0,0,0,
46,Acomys_spinosissimus,Southern African Spiny Mouse,Least Spiny Mouse|Southern Spiny Mouse,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,spinosissimus,Peters,1852,,,,NA,NA,Afrotropic,sciname match,Acomys_spinosissimus,0,0,0,0,
47,Acomys_subspinosus,Cape Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,subspinosus,Waterhouse,1837,,,,NA,NA,Afrotropic,sciname match,Acomys_subspinosus,0,0,0,0,
48,Acomys_wilsoni,Wilson’s Spiny Mouse,,Placentalia,Boreoeutheria,RODENTIA,MURIDAE,DEOMYINAE,NA,Acomys,wilsoni,Thomas,1892,,,,NA,NA,Afrotropic,sciname match,Acomys_wilsoni,0,0,0,0,
49,Aconaemys_fuscus,Chilean Rock Rat,Great Rock Rat,Placentalia,Boreoeutheria,RODENTIA,OCTODONTIDAE,NA,NA,Aconaemys,fuscus,Waterhouse,1841,,,,NA,NA,Neotropic,sciname match,Aconaemys_fuscus,0,0,0,0,
50,Aconaemys_porteri,Porter’s Rock Rat,,Placentalia,Boreoeutheria,RODENTIA,OCTODONTIDAE,NA,NA,Aconaemys,porteri,Thomas,1917,,,,NA,NA,Neotropic,sciname match,Aconaemys_porteri,0,0,0,0,
51,Aconaemys_sagei,Sage’s Rock Rat,Neuquén Rock Rat,Placentalia,Boreoeutheria,RODENTIA,OCTODONTIDAE,NA,NA,Aconaemys,sagei,Pearson,1984,,,MVZ:Mamm:163419,NA,NA,Neotropic,sciname match,Aconaemys_sagei,0,0,0,0,
